year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2011,916,573,677,675,664,774,390,358,549,734,647,477,540,875,606,667,522,589,603,300,448,595.5,521,315,653,746,776,694,712.5,565,454,457,573,882,433,521,651,757,485,295,670,551,670,664,834,531,442,622,755,746,1046
2012,1005.5,562,632,696,725,789,414,394,558,706,658.5,440,602,935,647,724,542,638,615,335,457,636,534,366,646,750,848,582.5,804,626,430,450,634.5,914,396.5,518,644,814.5,464,335,643,520.5,648,682,920.5,535,473.5,683,793,718,1054
2013,1026,577,663,742,740,823,406,393,571.5,741,678,383,579,993,645,772.5,556,644,659,336,473,607,544,350,706,741,937.5,666,709,668,427,465,672,985,400,526,694,818,480,301,650,568,667,708,917,581,446,711,787,791.5,1117
2014,1182,618,711,806,779,814,391,436,559.5,784,729,389,597.5,990.5,650,756,569,653,717.5,350,453,670,537,347,733,734,912,718,715,721,450,486,702,984.5,420,507,686,875,471,325,733,567,695,766,800,582,484,748,820,765,1088
2015,1240.5,650,720,868,751,756,409,400.5,599,782,746,416.5,510,931,606,727,578.5,651,744,350,422,710,546,328,751,758.5,875,739,674,586,500,494,746,920,428,506,705.5,812,520,346,701,522.5,700,790,871.5,593,513,610,887.5,726,995.5
2016,1275,665,700,864,795,766,429,452,538,782,810,389,513,806,591,733,586,653,726,349.5,460,705.5,537,343,706,746.5,868.5,716,632.5,576.5,456,483,775,845,442,462,676,783.5,522,486,733,489,739,850,881,582,533,637,885,620.5,1119
2017,1416,683,639,889.5,796,740,432,513,451,837,825,393,488,690,539,747,612,584,705,339,506,751,509,355,741,718,766,644,667.5,560.5,410,529,724,839.5,437,494,738,749.5,477,377,792,477.5,754,830,869,636,601,573,973,681,1165
2018,1316,800.5,596,888,740,755,441,488,601,921,808,232,535,789.5,555,761,734.5,459,697,354,498,729,497,360,781,813,768,698,624,481,458,510,731,775,446,531,857,647,512,468,787,542,855,829,997,680,469,559,1015,680,1252
2019,1238,955,660,938,789,780,504,553,750.5,1003,883.5,302,608.5,1007,600,808,900,533,865,381,524,850,507,406,889.5,928,797,750,681.5,609.5,537,546,798.5,899,477,602.5,1020,586,531,540,980,619,948,972,1039,736.5,501,625.5,1030,652.5,1357
2020,1318,978,642,922,760,742,520,567.5,747,1021,935,439,591,1057,633,813,819.5,500,844,384,510,933,486,418,874,881,779.5,703,672.5,685,546,531,752,953.5,478,625,1145.5,574,557,553.5,940,693.5,949,1042,1008,755,600.5,588,886,590,1499
2021,1363,986,641,919,740,753,532,596,744,1006,965,431.5,582,935,649,797,841,520,824,405,522,857,458,425,855,839,763.5,757,579,785,497.5,500,742,867,464,657,974,618,550,521.5,980,683,970,990,1011,753,510,606,922,628,1611
2022,561,834,555,697.5,701,674,481,588,696,956,855,535,503,746,638,748,842,470,739,440,517,896,407,426,776,699,685,750,545.5,633,615.5,482,711,603,448,616,851,598,492,564.5,799,660.5,913,843,549,713,439,541.5,938,551,1478.5
2023,1406,1370,1382.5,1395,1963,NA,1259.5,1159,1666,1593,1453,1439.5,1300.5,1446.5,1370,1375,1517,1186,1517,1437.5,1082,1681,1020,1293,1470,1484,1727,1528,1286,1494,1269,1159,1549.5,1874.5,1181,1313,1621,1372,1268,1340,1753,1615,1392,1628,1566.5,1436,1054,1353,1662,1406,2516
